University,CityorCountry,City
Franklin & Marshall,"Lancaster, PA, USA",Lancaster
Purdue University,West Lafayette/USA,West Lafayette
University of Plymouth,UK,Plymouth
Princeton University,"Princeton, NJ",Princeton
"University of Nevada, Las Vegas","Las Vegas, NV, USA",Las Vegas
Oxford Brookes University,"Oxford, UK",Oxford
University of Zurich,Zurich/ Switzerland,Zurich
Florida State University,"Tallahassee, FL/USA",Tallahassee
University of Manitoba,"Winnipeg, Canada",Winnipeg
Bogazici University,Istanbul/Turkey,Istanbul
University of Leeds,"Leeds, UK",Leeds
University of Toronto Mississauga,"Mississauga, Canada",Mississauga
University of Essex,"Colchester, UK",Colchester
Université Paris Descartes,Paris/France,Paris
Brigham Young University,"Provo, Utah (USA)",Provo
University of Tennessee,Knoxville/United States,Knoxville
University of British Columbia,"Vancouver, Canada",Vancouver
University of York,"York, UK",York
Northwestern University,Chicago,Chicago
University of Hamburg,Hamburg,Hamburg
Boston College,"Boston, USA",Boston
University of Chicago,"Chicago, IL, US",Chicago
McGill University,"Montreal, Canada",Montreal
University of Wisconsin-Madison,"Madison, USA",Madison
"University of California, Los Angeles (UCLA)","Los Angeles, CA. USA",Los Angeles
CNRS – Université Paris Descartes,"Paris, France",Paris
Concordia University,"Montreal, Canada",Montreal
Victoria University of Wellington,Wellington/New Zealand,Wellington
Kyoto University,"Kyoto, Japan",Kyoto
University of Newcastle,Australia,Callaghan
University of British Columbia,"Vancouver, Canada",Vancouver
James Madison University,"Harrisonburg, VA",Harrisonburg
University of Edinburgh,"Edinburgh, UK",Edinburgh
Western Sydney University,Sydney,Sydney
University of Massachusetts Boston,"Boston, USA",Boston
LMU Munich,Munich,Munich
University of Notre Dame,"Notre Dame, IN USA",Notre Dame
University of Liverpool,Liverpool/England/UK,Liverpool
McMaster University,Hamilton/Canada,Hamilton
University of Konstanz,"Konstanz, Germany",Konstanz
University of Nevada Las Vegas,Las Vegas/USA,Las Vegas
UNAM,Mexico,Mexico
Chosun University,"Gwangju, Korea",Gwangju
The Ohio State University,Columbus/USA,Columbus
Skidmore College,"Saratoga Springs, NY United States ",Saratoga Springs
Radboud University,"Nijmegen, The Netherlands",Nijmegen
Central European University,Budapest/Hungary,Budapest
University of Milano-Bicocca,Milan,Milan
Max Planck Institute for Human Cognitive and Brain Sciences,Leipzig/Germany,Leipzig
University of Louisville,"Louisville, KY, USA",Louisville
University of Ottawa,"Ottawa, Canada",Ottawa
Virginia Tech,Blacksburg/USA,Blacksburg
Saarland University,Saarbrücken / Germany,Saarbrücken
Rennes,France,Brittany
"University of California, San Diego","San Diego, United States",San Diego
Macquarie University,"Sydney, Australia",Sydney
Utrecht University,Utrecht,Utrecht
University of Goettingen,"Goettingen, Germany",Goettingen
University of Oregon,"Eugene, OR",Eugene
University of Tennessee,"Knoxville, TN., USA",Knoxville
Ecole Normale Supérieure,"Paris, France",Paris
University of Oslo,"Oslo, Norway",Oslo
National University of Singapore,Singapore,Singapore
Leiden University,"Leiden, The Netherlands",Leiden
University of Miami,"Coral Gables, Florida, USA",Coral Gables
Lancaster,/uk,Lancaster
University of Potsdam,Potsdam/Germany,Potsdam
Shimane University,Japan,Japan