order,trial,trial_num
1,train1,1
1,train2,2
1,IDS1,3
1,ADS1,4
1,IDS2,5
1,ADS2,6
1,ADS3,7
1,IDS3,8
1,IDS4,9
1,ADS4,10
1,ADS5,11
1,IDS5,12
1,ADS6,13
1,IDS6,14
1,IDS7,15
1,ADS7,16
1,ADS8,17
1,IDS8,18
2,train2,1
2,train1,2
2,ADS1,3
2,IDS1,4
2,ADS2,5
2,IDS2,6
2,IDS3,7
2,ADS3,8
2,ADS4,9
2,IDS4,10
2,IDS5,11
2,ADS5,12
2,IDS6,13
2,ADS6,14
2,ADS7,15
2,IDS7,16
2,IDS8,17
2,ADS8,18
3,train1,1
3,train2,2
3,IDS5,3
3,ADS5,4
3,ADS7,5
3,IDS7,6
3,ADS1,7
3,IDS1,8
3,ADS3,9
3,IDS3,10
3,ADS2,11
3,IDS2,12
3,IDS4,13
3,ADS4,14
3,IDS6,15
3,ADS6,16
3,IDS8,17
3,ADS8,18
4,train2,1
4,train1,2
4,ADS5,3
4,IDS5,4
4,IDS7,5
4,ADS7,6
4,IDS1,7
4,ADS1,8
4,IDS3,9
4,ADS3,10
4,IDS2,11
4,ADS2,12
4,ADS4,13
4,IDS4,14
4,ADS6,15
4,IDS6,16
4,ADS8,17
4,IDS8,18