lab,subid,trial_type,stimulus,trial_num,looking_time,MovieStart,MovieEnd,TrialTime,total_trial_time,trial_error,trial_error_type
irl-concordia,,,,,,00:49.064,00:54.681,00:05.617,5.617,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,
irl-concordia,,,,,,,,,,,